i	mon	v0
0	u	0,82675
1	u	0,613875
2	u	0,635375
3	u	0,7805
4	u	0,547125
5	u	0,484375
6	u	0,642
7	u	0,79075
8	u	0,610625
9	u	0,6356875
10	u	0,5734375
11	u	0,79575
12	u	0,609875
13	u	0,7606875
14	u	0,7498125
15	u	0,8585625
16	u	0,4991875
17	u	0,438
18	u	0,4376875
19	u	0,6411875
20	-0,23	0,6989375
21	-0,23	0,5689375
22	-0,21	0,718
23	-0,21	0,805
24	-0,21	0,546125
25	-0,16	0,7895625
26	-0,16	0,6541875
27	-0,16	0,7655
28	-0,16	0,6119375
29	-0,16	0,617375
30	-0,16	0,293375
31	-0,16	0,7209375
32	-0,16	0,727125
33	-0,16	0,745
34	-0,16	0,558125
35	-0,16	0,7414375
36	-0,16	0,8410625
37	-0,14	0,7595625
38	-0,14	0,8495625
39	-0,14	0,5423125
40	-0,14	0,80725
41	-0,14	0,748375
42	-0,14	0,4488125
43	-0,14	0,5326875
44	-0,14	0,779375
45	-0,14	0,7051875
46	-0,14	0,6988125
47	-0,14	0,5859375
48	-0,14	0,6145625
49	-0,14	0,6540625
50	-0,14	0,542625
51	-0,14	0,5835625
52	-0,14	0,3744375
53	-0,14	0,4785625
54	-0,14	0,6111875
55	-0,14	0,73175
56	-0,14	0,81375
57	-0,14	0,544125
58	-0,14	0,65625
59	-0,14	0,774
60	-0,14	0,8928125
61	-0,14	0,6295625
62	-0,14	0,47125
63	-0,14	0,49225
64	-0,14	0,566875
65	-0,14	0,4993125
66	-0,14	0,5141875
67	-0,14	0,6229375
68	-0,14	0,7923125
69	-0,14	0,7433125
70	-0,14	0,7203125
71	-0,14	0,5009375
72	-0,14	0,6570625
73	-0,14	0,5550625
74	-0,14	0,694875
75	-0,14	0,544875
76	-0,14	0,701625
77	-0,14	0,79625
78	-0,14	0,6815625
79	-0,14	0,5003125
80	-0,14	0,628625
81	-0,14	0,634375
82	-0,14	0,721875
83	-0,14	0,6275625
84	-0,14	0,4166875
85	-0,14	0,687875
86	-0,14	0,8053125
87	-0,14	0,603375
88	-0,14	0,646
89	-0,14	0,6335
90	-0,14	0,616125
91	-0,14	0,618
92	-0,14	0,7109375
93	-0,14	0,6315625
94	-0,14	0,6208125
95	-0,14	0,6355625
96	-0,14	0,7214375
97	-0,14	0,5203125
98	-0,14	0,66375
99	-0,14	0,47975
100	-0,14	0,536
101	-0,14	0,6779375
102	-0,14	0,57675
103	-0,14	0,519375
104	-0,14	0,607
105	-0,14	0,429125
106	-0,14	0,551
107	-0,14	0,5024375
108	-0,14	0,404
109	-0,14	0,8344375
110	-0,14	0,6079375
111	-0,14	0,5791875
112	-0,14	0,661
113	-0,14	0,8270625
114	-0,14	0,6614375
115	-0,14	0,5101875
116	-0,14	0,7868125
117	-0,14	0,56325
118	-0,14	0,6910625
119	-0,14	0,731375
120	-0,14	0,4764375
121	-0,14	0,502875
122	-0,14	0,63375
123	-0,14	0,632625
124	-0,14	0,645625
125	-0,14	0,7633125
126	-0,14	0,449125
127	-0,14	0,5021875
128	-0,14	0,5318125
129	-0,14	0,6840625
130	-0,14	0,79225
131	-0,14	0,8285625
132	-0,14	0,4641875
133	-0,14	0,431125
134	-0,14	0,709875
135	-0,14	0,67375
136	-0,14	0,601625
137	-0,14	0,501625
138	-0,14	0,377
139	-0,14	0,6948125
140	-0,14	0,7328125
141	-0,14	0,5356875
142	-0,14	0,481875
143	-0,14	0,6635625
144	-0,14	0,5390625
145	-0,14	0,5754375
146	-0,14	0,7405
147	-0,14	0,806875
148	-0,14	0,6400625
149	-0,14	0,50825
150	-0,14	0,5944375
151	-0,14	0,78225
152	-0,14	0,593625
153	-0,14	0,5303125
154	-0,14	0,762625
155	-0,14	0,7554375
156	-0,14	0,730875
157	-0,14	0,695875
158	-0,14	0,6218125
159	-0,14	0,5284375
160	-0,14	0,7108125
161	-0,14	0,56975
162	-0,14	0,6506875
163	-0,14	0,3526875
164	-0,14	0,2604375
165	-0,14	0,5915
166	-0,14	0,50325
167	-0,14	0,522125
