t	G nocrash	G 5csd	G RSSsg
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	-0,87
41	0	0	-0,87
42	0	0	-0,87
43	0	0	-0,87
44	0	0	-0,87
45	0	0	-0,87
46	0	0	-0,87
47	0	0	-0,87
48	0	0	-0,87
49	0	0	-0,87
50	0	0	-0,87
51	0	0	-0,87
52	0	0	-0,87
53	0	0	-0,87
54	0	0	-0,87
55	0	0	-0,87
56	0	0	-0,87
57	0	0	-0,87
58	0	0	-0,87
59	0	0	-0,89
60	0	0	-0,95
61	0	0	-0,95
62	0	0	-0,95
63	0	0	-0,95
64	0	0	-0,95
65	0	0	-0,95
66	0	0	-0,95
67	0	0	-0,95
68	0	0	-0,95
69	0	0	-0,95
70	0	0	-0,95
71	0	0	-0,95
72	0	0	-0,95
73	0	0	-0,95
74	0	0	-0,95
75	0	0	-0,95
76	0	0	-0,95
77	0	0	-0,95
78	0	0	-0,95
79	0	0	-0,95
80	0	0	-0,95
81	0	0	-0,95
82	0	0	-0,95
83	0	0	-0,95
84	0	0	-0,95
85	0	0	-0,95
86	0	0	-0,95
87	0	0	-0,95
88	0	0	-0,95
89	0	0	-0,95
90	0	0	-0,95
91	0	0	-0,95
92	0	0	-0,95
93	0	0	-0,95
94	0	0	-0,95
95	0	0	-0,95
96	0	0	-0,95
97	0	0	-0,95
98	0	0	-0,95
99	0	0	-0,95
100	0	0	-0,95
101	0	0	-0,95
102	0	0	-0,95
103	0	0	-0,95
104	0	0	-0,95
105	0	0	-0,95
106	0	0	-0,95
107	0	0	-0,95
108	0	0	-0,95
109	0	0	-0,95
110	0	0	-0,95
111	0	0	-0,95
112	0	0	-0,95
113	0	0	-0,95
114	0	0	-0,95
115	0	0	-0,95
116	0	0	-0,95
117	0	0	-0,95
118	0	0	-0,95
119	0	0	-0,95
120	0	0	-0,95
121	0	0	-0,95
122	0	0	-0,95
123	0	0	-0,95
124	0	0	-0,95
125	0	0	-0,95
126	0	0	-0,95
127	0	0	-0,95
128	0	0	-0,95
129	0	0	-0,95
130	0	0	-0,95
131	0	0	-0,95
132	0	0	-0,95
133	0	0	-0,95
134	0	0	-0,95
135	0	0	-0,95
136	0	0	-0,95
137	0	0	-0,95
138	0	0	-0,95
139	0	0	-0,95
140	0	0	-0,95
141	0	0	-0,95
142	0	0	-0,95
143	0	0	-0,95
144	0	0	-0,95
145	0	0	-0,95
146	0	0	-0,95
147	0	0	-0,95
148	0	0	-0,95
149	0	0	-0,95
150	0	0	-0,95
151	0	0	-0,95
152	0	0	-0,95
153	0	0	-0,95
154	0	0	-0,95
155	0	0	-0,95
156	0	0	-0,95
157	0	0	-0,95
158	0	0	-0,95
159	0	0	-0,95
160	0	0	-0,95
161	0	0	-0,95
162	0	0	-0,95
163	0	0	-0,95
164	0	0	-0,95
165	0	0	-0,95
166	0	0	-0,95
167	0	0	-0,95
168	0	0	-0,95
169	0	0	-0,95
170	0	0	-0,95
171	0	0	-0,95
172	0	0	-0,95
173	0	0	-0,95
174	0	0	-0,95
175	0	0	-0,95
176	0	0	-0,95
177	0	0	-0,95
178	0	0	-0,95
179	0	0	-0,95
