i	mon	v0
0	u	0,635625
1	u	0,634625
2	u	0,6334375
3	u	0,6320625
4	u	0,6305
5	u	0,62875
6	u	0,6269375
7	u	0,6249375
8	u	0,6228125
9	u	0,620625
10	u	0,6183125
11	u	0,615875
12	u	0,613375
13	u	0,6108125
14	u	0,608125
15	u	0,6053125
16	u	0,60225
17	u	0,5989375
18	u	0,595375
19	u	0,5915625
20	-0,21	0,5875625
21	-0,21	0,5834375
22	-0,21	0,5790625
23	-0,21	0,574625
24	-0,21	0,57
25	-0,21	0,5653125
26	-0,21	0,5604375
27	-0,21	0,5555625
28	-0,21	0,5505625
29	-0,21	0,5454375
30	-0,21	0,5403125
31	-0,21	0,5348125
32	-0,2	0,529125
33	-0,2	0,523125
34	-0,2	0,5169375
35	-0,2	0,5105625
36	-0,2	0,5040625
37	-0,2	0,4973125
38	-0,18	0,4905
39	-0,18	0,4835625
40	-0,18	0,4765
41	-0,18	0,525
42	-0,18	0,5154375
43	-0,18	0,5058125
44	-0,18	0,496125
45	-0,18	0,486375
46	-0,18	0,476625
47	-0,18	0,4668125
48	-0,18	0,4569375
49	-0,18	0,4470625
50	-0,18	0,6298125
51	-0,18	0,621375
52	-0,18	0,613
53	-0,18	0,6045625
54	-0,18	0,596125
55	-0,18	0,587625
56	-0,18	0,579125
57	-0,18	0,5705625
58	-0,18	0,5620625
59	-0,18	0,5535
60	-0,17	0,5449375
61	-0,17	0,5363125
62	-0,17	0,52775
63	-0,17	0,519125
64	-0,17	0,5105
65	-0,17	0,501875
66	-0,17	0,49325
67	-0,17	0,484625
68	-0,16	0,476
69	-0,16	0,53025
70	-0,16	0,5211875
71	-0,16	0,5121875
72	-0,16	0,503125
73	-0,16	0,4940625
74	-0,16	0,4850625
75	-0,16	0,4760625
76	-0,16	0,4670625
77	-0,16	0,458
78	-0,16	0,449
79	-0,16	0,4400625
80	-0,16	0,5910625
81	-0,16	0,582625
82	-0,16	0,5741875
83	-0,16	0,56575
84	-0,16	0,557375
85	-0,16	0,549
86	-0,16	0,540625
87	-0,16	0,53225
88	-0,16	0,523875
89	-0,16	0,5155625
90	-0,16	0,50725
91	-0,16	0,499
92	-0,16	0,4908125
93	-0,16	0,482625
94	-0,16	0,4745
95	-0,16	0,4663125
96	-0,16	0,4581875
97	-0,16	0,45
98	-0,16	0,441875
99	-0,16	0,61325
100	-0,16	0,6045625
101	-0,16	0,5958125
102	-0,16	0,5870625
103	-0,16	0,5783125
104	-0,16	0,5695625
105	-0,16	0,5608125
106	-0,16	0,5520625
107	-0,16	0,543375
108	-0,16	0,5346875
109	-0,16	0,526
110	-0,16	0,5173125
111	-0,16	0,5086875
112	-0,16	0,4999375
113	-0,16	0,49125
114	-0,16	0,501875
115	-0,16	0,493125
116	-0,16	0,484375
117	-0,16	0,475375
118	-0,16	0,4664375
119	-0,16	0,4575625
120	-0,16	0,448625
121	-0,16	0,4396875
122	-0,16	0,7286875
123	-0,16	0,7213125
124	-0,16	0,714
125	-0,16	0,706625
126	-0,16	0,6993125
127	-0,16	0,6919375
128	-0,16	0,6845625
129	-0,16	0,6771875
130	-0,16	0,6698125
131	-0,16	0,662375
132	-0,16	0,655
133	-0,16	0,6475625
134	-0,16	0,6401875
135	-0,16	0,63275
136	-0,16	0,625375
137	-0,16	0,6179375
138	-0,16	0,6105
139	-0,16	0,603125
140	-0,16	0,5956875
141	-0,16	0,5883125
142	-0,16	0,580875
143	-0,16	0,5734375
144	-0,16	0,5660625
145	-0,16	0,558625
146	-0,16	0,55125
147	-0,16	0,5438125
148	-0,16	0,5364375
149	-0,16	0,529
150	-0,16	0,521625
151	-0,16	0,5141875
152	-0,16	0,5068125
153	-0,16	0,4994375
154	-0,16	0,492
155	-0,16	0,484625
156	-0,16	0,4771875
157	-0,16	0,4703125
158	-0,16	0,53125
159	-0,16	0,53125
