i	G (sg->nocrash)	stepwise crash	stepwise 5csd
0	0	-1	0
1	0	-1	0
2	0	-1	0
3	0	-1	0
4	0	-1	0
5	0	-1	0
6	0	-1	0
7	0	-1	0
8	0	-1	0
9	0	-1	0
10	0	-1	0
11	0	-1	0
12	0	-1	0
13	0	-1	0
14	0	-1	0
15	0	-1	0
16	0	-1	0
17	0	-1	0
18	0	-1	0
19	0	-1	0
20	0	-1	0
21	0	-1	0
22	0	-1	0
23	0	-1	0
24	0	-1	0
25	0	-1	0
26	0	-1	0
27	0	-1	0
28	0	-1	0
29	0	-1	0
30	0	-1	0
31	0	-1	0
32	0	-1	0
33	0	-1	0
34	0	-1	0
35	0	-1	0
36	0	-1	0
37	0	-1	0
38	0	-1	0
39	0	-1	0
40	0	-1	0
41	0	-1	0
42	0	-1	0
43	0	-1	0
44	0	-1	0
45	0	-1	0
46	0	-1	0
47	0	-1	0
48	0	-1	0
49	0	-1	0
50	0	-1	0
51	0	-1	0
52	0	-1	0
53	0	-1	0
54	0	-1	0
55	0	-1	0
56	0	-1	0
57	0	-1	0
58	0	-1	0
59	0	-1	0
60	0	-1	0
61	0	-1	0
62	0	-1	0
63	0	-1	0
64	0	-1	0
65	0	-1	0
66	0	-1	0
67	0	-1	0
68	0	-1	0
69	0	-1	0
70	0	-1	0
71	0	-1	0
72	0	-1	0
73	0	-1	0
74	0	-1	0
75	0	-1	0
76	0	-1	0
77	0	-1	0
78	0	-1	0
79	0	-1	0
80	0	-1	0
81	0	-1	0
82	0	-1	0
83	0	-1	0
84	0	-1	0
85	0	-1	0
86	0	-1	0
87	0	-1	0
88	0	-1	0
89	0	-1	0
90	0	-1	0
91	0	-1	0
92	0	-1	0
93	0	-1	0
94	0	-1	0
95	0	-1	0
96	0	-1	0
97	-0,028091	-1	-0,028091
98	-0,084832	-1	-0,084832
99	-0,141609	-1	-0,141609
100	-0,198411	-1	-0,198411
101	-0,255227	-1	-0,255227
102	-0,312044	-1	-0,312044
103	-0,368853	-1	-0,368853
104	-0,425643	-1	-0,425643
105	-0,482462	-1	-0,482462
106	-0,539063	-1	-0,539063
107	-0,595417	-1	-0,595417
108	-0,651585	-1	-0,651585
109	-0,707644	-1	-0,707644
110	-0,763658	-1	-0,763658
111	-0,763658	-1	0
112	-0,763658	-1	0
113	-0,763658	-1	0
114	-0,763658	-1	0
115	-0,763658	-1	0
116	-0,763658	-1	0
117	-0,763658	-1	0
118	-0,763658	-1	0
119	-0,763658	-1	0
120	-0,763658	-1	0
121	-0,763658	-1	0
122	-0,763658	-1	0
123	-0,763658	-1	0
124	-0,763658	-1	0
125	-0,763658	-1	0
126	-0,763658	-1	0
127	-0,763658	-1	0
128	-0,763658	-1	0
129	-0,763658	-1	0
130	-0,763658	-1	0
131	-0,763658	-1	0
132	-0,763658	-1	0
133	-0,763658	-1	0
134	-0,763658	-1	0
135	-0,763658	-1	0
136	-0,763658	-1	0
137	-0,763658	-1	0
138	-0,763658	-1	0
139	-0,763658	-1	0
140	-0,763658	-1	0
141	-0,763658	-1	0
142	-0,763658	-1	-0,022099
143	-0,763658	-1	-0,074395
144	-0,763658	-1	-0,126691
145	-0,763658	-1	-0,178985
146	-0,763658	-1	-0,231277
147	-0,763658	-1	-0,283567
148	-0,763658	-1	-0,335856
149	-0,763658	-1	-0,388143
150	-0,763658	-1	-0,440428
151	-0,763658	-1	-0,49271
152	-0,763658	-1	-0,544991
153	-0,763658	-1	-0,597271
154	-0,763658	-1	-0,649548
155	-0,763658	-1	-0,701823
156	-0,763658	-1	-0,754097
157	0	0	-1
158	0	0	-1
159	0	0	-1
