t	(G sl) R fl	stepwise fl	stepwise sl
0	0	0	-0,206481
1	0	0	-0,104567
2	0	0	-0,192894
3	0	0	-0,247465
4	0	0	-0,172474
5	0	0	-0,119114
6	0	0	-0,147613
7	0	0	-0,267236
8	0	0	-0,166777
9	0	0	-0,255772
10	0	0	-0,237276
11	0	0	-0,118254
12	0	0	-0,244107
13	0	0	-0,117997
14	0	0	-0,167155
15	0	0	-0,20926
16	0	0	-0,20001
17	0	0	-0,180791
18	0	0	-0,175586
19	0	0	-0,115665
20	0	0	-0,162949
21	0	0	-0,232265
22	0	0	-0,133398
23	0	0	-0,154458
24	0	0	-0,146537
25	0	0	-0,145043
26	0	0	-0,214936
27	0	0	-0,18894
28	0	0	-0,185592
29	0	0	-0,105124
30	0	0	-0,26618
31	0	0	-0,167931
32	0	0	-0,134248
33	0	0	-0,350818
34	0	0	-0,170137
35	0	0	-0,178796
36	0	0	-0,146413
37	0	0	-0,121094
38	0	0	-0,212938
39	0	0	-0,156642
40	0	0	-0,18335
41	0	0	-0,172276
42	0	0	-0,140321
43	0	0	-0,142616
44	0	0	-0,210268
45	0	0	-0,224616
46	0	0	-0,130867
47	0	0	-0,19497
48	0	0	-0,259181
49	0	0	-0,15766
50	0	0	-0,211937
51	0	0	-0,14299
52	0	0	-0,133725
53	0	0	-0,097898
54	0	0	-0,147768
55	0	0	-0,248222
56	0	0	-0,199209
57	0	0	-0,243268
58	0	0	-0,212959
59	0	0	-0,170533
60	0	0	-0,118456
61	0	0	-0,110779
62	0	0	-0,141209
63	0	0	-0,17171
64	0	0	-0,224717
65	0	0	-0,244315
66	0	0	-0,243671
67	0	0	-0,108841
68	0	0	-0,145335
69	0	0	-0,226637
70	0	0	-0,187308
71	0	0	-0,236513
72	0	0	-0,167417
73	0	0	-0,233103
74	0	0	-0,192104
75	0	0	-0,116325
76	0	0	-0,150807
77	0	0	-0,215735
78	0	0	-0,192396
79	0	0	-0,158541
80	0	0	-0,304383
81	0	0	-0,231151
82	0	0	-0,151569
83	0	0	-0,113677
84	0	0	-0,189178
85	0	0	-0,224402
86	0	0	-0,219499
87	0	0	-0,287707
88	0	0	-0,120314
89	0	0	-0,124729
90	0	0	-0,221569
91	0	0	-0,233857
92	0	0	-0,165822
93	0	0	-0,237096
94	0	0	-0,130231
95	0	0	-0,264513
96	0	0	-0,170973
97	-0,181592	-0,975702	-0,166801
98	-0,342696	-0,977121	-0,350376
99	-0,342696	-0,97854	-0,230399
100	-0,342696	-0,97996	-0,102747
101	-0,342696	-0,981381	-0,212517
102	-0,342696	-0,982801	-0,194957
103	-0,342696	-0,984221	-0,299022
104	-0,342696	-0,985641	-0,167606
105	-0,342696	-0,987062	-0,148382
106	-0,342696	-0,988477	-0,10605
107	-0,342696	-0,989885	-0,159613
108	-0,342696	-0,99129	-0,236081
109	-0,342696	-0,992691	-0,184469
110	-0,342696	-0,994091	-0,103261
111	-0,342696	0	-0,171954
112	-0,342696	0	-0,176981
113	-0,342696	0	-0,157581
114	-0,342696	0	-0,13633
115	-0,342696	0	-0,143614
116	-0,342696	0	-0,247646
117	-0,342696	0	-0,232772
118	-0,342696	0	-0,177241
119	-0,342696	0	-0,212949
120	-0,342696	0	-0,141292
121	-0,342696	0	-0,196193
122	-0,342696	0	-0,219042
123	-0,342696	0	-0,253049
124	-0,342696	0	-0,131715
125	-0,342696	0	-0,217394
126	-0,342696	-0,954679	-0,158691
127	-0,342696	-0,955976	-0,122702
128	-0,342696	-0,957275	-0,153889
129	-0,342696	-0,958575	-0,199231
130	-0,342696	-0,959877	-0,19869
131	-0,342696	-0,96118	-0,209171
132	-0,342696	-0,962484	-0,207114
133	-0,342696	-0,963789	-0,160699
134	-0,342696	-0,965095	-0,201168
135	-0,342696	-0,966402	-0,258833
136	-0,342696	-0,967709	-0,233016
137	-0,342696	-0,969016	-0,11732
138	-0,342696	-0,970323	-0,23419
139	-0,342696	-0,97163	-0,228067
140	-0,342696	-0,972938	-0,210989
141	-0,342696	-0,974245	-0,221042
142	-0,342696	-0,975552	-0,225692
143	-0,342696	-0,97686	-0,189374
144	-0,342696	-0,978167	-0,233197
145	-0,342696	-0,979475	-0,144775
146	-0,342696	-0,980782	-0,257451
147	-0,342696	-0,982089	-0,2293
148	-0,342696	-0,983396	-0,334187
149	-0,342696	-0,984704	-0,127208
150	-0,342696	-0,986011	-0,231547
151	-0,342696	-0,987318	-0,198726
152	-0,342696	-0,988625	-0,165271
153	-0,342696	-0,989932	-0,123104
154	-0,342696	-0,991239	-0,231927
155	-0,342696	-0,992546	-0,181886
156	-0,342696	-0,993852	-0,149476
157	-0,342696	-0,995	-0,223849
158	-0,342696	-0,995	-0,137453
159	-0,342696	-0,995	-0,140117
