t,(G sl) R fl,stepwise fl,stepwise sl
0	0,000000	0,000000	-0,249084
1	0,000000	0,000000	-0,128601
2	0,000000	0,000000	-0,234987
3	0,000000	0,000000	-0,251467
4	0,000000	0,000000	-0,120116
5	0,000000	0,000000	-0,182658
6	0,000000	0,000000	-0,227309
7	0,000000	0,000000	-0,235019
8	0,000000	0,000000	-0,123594
9	0,000000	0,000000	-0,199930
10	0,000000	0,000000	-0,287897
11	0,000000	0,000000	-0,285645
12	0,000000	0,000000	-0,181097
13	0,000000	0,000000	-0,242741
14	0,000000	0,000000	-0,169483
15	0,000000	0,000000	-0,283083
16	0,000000	0,000000	-0,165387
17	0,000000	0,000000	-0,103591
18	0,000000	0,000000	-0,122228
19	0,000000	0,000000	-0,239854
20	0,000000	0,000000	-0,215133
21	0,000000	0,000000	-0,106867
22	0,000000	0,000000	-0,220312
23	0,000000	0,000000	-0,269264
24	0,000000	0,000000	-0,189292
25	0,000000	0,000000	-0,177707
26	0,000000	0,000000	-0,121744
27	0,000000	0,000000	-0,199837
28	0,000000	0,000000	-0,151914
29	0,000000	0,000000	-0,129116
30	0,000000	0,000000	-0,162299
31	0,000000	0,000000	-0,206226
32	0,000000	0,000000	-0,252568
33	0,000000	0,000000	-0,201963
34	0,000000	0,000000	-0,202210
35	0,000000	0,000000	-0,192195
36	0,000000	0,000000	-0,238624
37	0,000000	0,000000	-0,149128
38	0,000000	0,000000	-0,232576
39	0,000000	0,000000	-0,197032
40	-0,276605	-0,914765	-0,285384
41	-0,281755	-0,915382	-0,288284
42	-0,281755	-0,915999	-0,159847
43	-0,281755	-0,916616	-0,180641
44	-0,281755	-0,917232	-0,233541
45	-0,281755	-0,917848	-0,158288
46	-0,281755	-0,918463	-0,149402
47	-0,281755	-0,919078	-0,117002
48	-0,281755	-0,919693	-0,185297
49	-0,281755	-0,920308	-0,239587
50	-0,281755	-0,920922	-0,151243
51	-0,281755	-0,921535	-0,097859
52	-0,281755	-0,922149	-0,124596
53	-0,281755	-0,922762	-0,108785
54	-0,281755	-0,923374	-0,150145
55	-0,281755	-0,923987	-0,246724
56	-0,307566	-0,924598	-0,321879
57	-0,307566	-0,925210	-0,146082
58	-0,307566	-0,925821	-0,100660
59	-0,307566	-0,926432	-0,171531
60	-0,307566	-0,927043	-0,269494
61	-0,307566	-0,927654	-0,180073
62	-0,307566	-0,928264	-0,116054
63	-0,307566	-0,928873	-0,105622
64	-0,307566	-0,929483	-0,104838
65	-0,307566	-0,930092	-0,137574
66	-0,307566	-0,930701	-0,142266
67	-0,307566	-0,931310	-0,219931
68	-0,307566	-0,931919	-0,232260
69	-0,307566	-0,932527	-0,207160
70	-0,307566	-0,933135	-0,199188
71	-0,307566	-0,933743	-0,127580
72	-0,307566	-0,934351	-0,174800
73	-0,307566	-0,934958	-0,125279
74	-0,307566	-0,935565	-0,237320
75	-0,307566	-0,936172	-0,146835
76	-0,307566	-0,936779	-0,241743
77	-0,307566	-0,937386	-0,247528
78	-0,307566	-0,937992	-0,211607
79	-0,307566	-0,938598	-0,104851
80	-0,307566	-0,939204	-0,172602
81	-0,307566	-0,939810	-0,121330
82	-0,307566	-0,940416	-0,195323
83	-0,307566	-0,941021	-0,148821
84	-0,307566	-0,941627	-0,197249
85	-0,307566	-0,942232	-0,107543
86	-0,307566	-0,942837	-0,213209
87	-0,307566	-0,943442	-0,117611
88	-0,307566	-0,944047	-0,153714
89	-0,307566	-0,944651	-0,154063
90	-0,307566	-0,945256	-0,146180
91	-0,307566	-0,945823	-0,159295
92	-0,307566	-0,946357	-0,228729
93	-0,307566	-0,946862	-0,123720
94	-0,307566	-0,947341	-0,184605
95	-0,307566	-0,947797	-0,188183
96	-0,307566	-0,948231	-0,200456
97	-0,307566	-0,948648	-0,150699
98	-0,307566	-0,949048	-0,179206
99	-0,307566	-0,949433	-0,182498
100	-0,307566	-0,949806	-0,145829
101	-0,307566	-0,950167	-0,184279
102	-0,307566	-0,950518	-0,176419
103	-0,307566	-0,950860	-0,229451
104	-0,307566	-0,951193	-0,193837
105	-0,307566	-0,951519	-0,107744
106	-0,307566	-0,951802	-0,216941
107	-0,307566	-0,952047	-0,168171
108	-0,307566	-0,952256	-0,110889
109	-0,307566	-0,952436	-0,290071
110	-0,307566	-0,952588	-0,142538
111	-0,307566	-0,952716	-0,126824
112	-0,307566	-0,952822	-0,143291
113	-0,307566	-0,952910	-0,215041
114	-0,307566	-0,952980	-0,200062
115	-0,307566	-0,953036	-0,113597
116	-0,307566	-0,953077	-0,247086
117	-0,307566	-0,953107	-0,116536
118	-0,307566	-0,953127	-0,123227
119	-0,307566	-0,953136	-0,228630
120	-0,307566	-0,953138	-0,168497
121	-0,307566	-0,953132	-0,134777
122	-0,307566	-0,953119	-0,158204
123	-0,307566	-0,953100	-0,199474
124	-0,307566	-0,953076	-0,147536
125	-0,307566	-0,953048	-0,173158
126	-0,307566	-0,953015	-0,144270
127	-0,307566	-0,952978	-0,145077
128	-0,307566	-0,952938	-0,128157
129	-0,307566	-0,952895	-0,222881
130	-0,307566	-0,952850	-0,210396
131	-0,307566	-0,952802	-0,224824
132	-0,307566	-0,952752	-0,101737
133	-0,307566	-0,952700	-0,102857
134	-0,307566	-0,952646	-0,203798
135	-0,307566	-0,952591	-0,187459
136	-0,307566	-0,952572	-0,113371
137	-0,307566	-0,952584	-0,124217
138	-0,307566	-0,952625	-0,113467
139	-0,307566	-0,952691	-0,163487
140	-0,307566	-0,952778	-0,158868
141	-0,307566	-0,952886	-0,173614
142	-0,307566	-0,953011	-0,112545
143	-0,307566	-0,953152	-0,156563
144	-0,307566	-0,953307	-0,156107
145	-0,307566	-0,953474	-0,106706
146	-0,307566	-0,953652	-0,190998
147	-0,307566	-0,953840	-0,223384
148	-0,307566	-0,954036	-0,214221
149	-0,307566	-0,954240	-0,125651
150	-0,307566	-0,954451	-0,127200
151	-0,307566	-0,954631	-0,265769
152	-0,307566	-0,954783	-0,178290
153	-0,307566	-0,954911	-0,159424
154	-0,307566	-0,955017	-0,190994
155	-0,307566	-0,955104	-0,303579
156	-0,307566	-0,955173	-0,208807
157	-0,307566	-0,955227	-0,241920
158	-0,307566	-0,955268	-0,170652
159	-0,307566	-0,955296	-0,115596
160	-0,307566	-0,955314	-0,167133
161	-0,307566	-0,955322	-0,148733
162	-0,307566	-0,955321	-0,159110
163	-0,307566	-0,955313	-0,119873
164	-0,307566	-0,955299	-0,132798
165	-0,307566	-0,955278	-0,171596
166	-0,307566	-0,955252	-0,127884
167	-0,307566	-0,955221	-0,218189
168	-0,307566	-0,955186	-0,196680
169	-0,307566	-0,955147	-0,137251
170	-0,307566	-0,955104	-0,253835
171	-0,307566	-0,955059	-0,116310
172	-0,307566	-0,955011	-0,139850
173	-0,307566	-0,954961	-0,191796
174	-0,307566	-0,954908	-0,122487
175	-0,307566	-0,954854	-0,105153
176	-0,307566	-0,954798	-0,205058
177	-0,307566	-0,954740	-0,251832
178	-0,307566	-0,954682	-0,170858
179	-0,307566	-0,954622	-0,180946
180	-0,307566	-0,954560	-0,276139
181	-0,307566	-0,954498	-0,190888
182	-0,307566	-0,954435	-0,166851
183	-0,307566	-0,954372	-0,231638
184	-0,307566	-0,954307	-0,141035
185	-0,307566	-0,954242	-0,189725
186	-0,307566	-0,954177	-0,157958
187	-0,307566	-0,954111	-0,134815
188	-0,307566	-0,954044	-0,168876
189	-0,307566	-0,953977	-0,203458
190	-0,307566	-0,953910	-0,201425
191	-0,307566	-0,953842	-0,113967
192	-0,307566	-0,953774	-0,143379
193	-0,307566	-0,953706	-0,166590
194	-0,307566	-0,953637	-0,109042
195	-0,307566	-0,953569	-0,200037
196	-0,307566	-0,953537	-0,245710
197	-0,307566	-0,953538	-0,103185
198	-0,307566	-0,953568	-0,164760
199	-0,307566	-0,953623	-0,203430
200	-0,307566	-0,953702	-0,166773
201	-0,307566	-0,953801	-0,114307
202	-0,307566	-0,953919	-0,211454
203	-0,307566	-0,954052	-0,177734
204	-0,307566	-0,954200	-0,123880
205	-0,307566	-0,954360	-0,224720
206	-0,307566	-0,954532	-0,202643
207	-0,307566	-0,954714	-0,113506
208	-0,307566	-0,954905	-0,159307
209	-0,307566	-0,955104	-0,205344
210	-0,307566	-0,955309	-0,183442
211	-0,307566	-0,955521	-0,160604
212	-0,307566	-0,955739	-0,252449
213	-0,307566	-0,955961	-0,096902
214	-0,307566	-0,956188	-0,114633
215	-0,307566	-0,956419	-0,125869
216	-0,307566	-0,956653	-0,108531
217	-0,307566	-0,956890	-0,129677
218	-0,307566	-0,957130	-0,211489
219	-0,307566	-0,957372	-0,210511
220	-0,307566	-0,957617	-0,164707
221	-0,307566	-0,957863	-0,142871
222	-0,307566	-0,958111	-0,166392
223	-0,307566	-0,958361	-0,163903
224	-0,307566	-0,958612	-0,140270
225	-0,307566	-0,958864	-0,162166
226	-0,307566	-0,959080	-0,154153
227	-0,307566	-0,959264	-0,126089
228	-0,307566	-0,959419	-0,120089
229	-0,307566	-0,959549	-0,235082
230	-0,307566	-0,959657	-0,168974
231	-0,307566	-0,959745	-0,154679
232	-0,307566	-0,959815	-0,237750
233	-0,307566	-0,959869	-0,242221
234	-0,307566	-0,959909	-0,176058
235	-0,307566	-0,959936	-0,179748
236	-0,307566	-0,959953	-0,174585
237	-0,307566	-0,959959	-0,165150
238	-0,307566	-0,959957	-0,118482
239	-0,307566	-0,959947	-0,101605
240	-0,307566	-0,959930	-0,124265
241	-0,307566	-0,959944	-0,157828
242	-0,307566	-0,959985	-0,236813
243	-0,307566	-0,960050	-0,161838
244	-0,307566	-0,960137	-0,220306
245	-0,307566	-0,960244	-0,160594
246	-0,307566	-0,960367	-0,275932
247	-0,307566	-0,960506	-0,302353
248	-0,307566	-0,960658	-0,189915
249	-0,307566	-0,960823	-0,111853
250	-0,307566	-0,960997	-0,132580
251	-0,307566	-0,961182	-0,216175
252	-0,307566	-0,961374	-0,208826
253	-0,307566	-0,961575	-0,135337
254	-0,307566	-0,961782	-0,175687
255	-0,307566	-0,961994	-0,176027
256	-0,351030	-0,962175	-0,350938
257	-0,351030	-0,962328	-0,192829
258	-0,351030	-0,962455	-0,173657
259	-0,351030	-0,962561	-0,124871
260	-0,351030	-0,962646	-0,109215
261	-0,351030	-0,962713	-0,120371
262	-0,351030	-0,962765	-0,229387
263	-0,351030	-0,962803	-0,135179
264	-0,351030	-0,962829	-0,188669
265	-0,351030	-0,962843	-0,117470
266	-0,351030	-0,962848	-0,151402
267	-0,351030	-0,962844	-0,216034
268	-0,351030	-0,962832	-0,170932
269	-0,351030	-0,962813	-0,172489
270	-0,351030	-0,962788	-0,251250
271	-0,351030	-0,962795	-0,122004
272	-0,351030	-0,962830	-0,130198
273	-0,351030	-0,962889	-0,128430
274	-0,351030	-0,962971	-0,197491
275	-0,351030	-0,963072	-0,142654
276	-0,351030	-0,963191	-0,130873
277	-0,351030	-0,963326	-0,171247
278	-0,351030	-0,963474	-0,277088
279	-0,351030	-0,963635	-0,216683
280	-0,351030	-0,963806	-0,126837
281	-0,351030	-0,963987	-0,153020
282	-0,351030	-0,964177	-0,161407
283	-0,351030	-0,964375	-0,140593
284	-0,351030	-0,964579	-0,162228
285	-0,351030	-0,964789	-0,121008
286	-0,351030	-0,964968	-0,143831
287	-0,351030	-0,965118	-0,117094
288	-0,351030	-0,965244	-0,102696
289	-0,351030	-0,965347	-0,236297
290	-0,351030	-0,965430	-0,206288
291	-0,351030	-0,965496	-0,186508
292	-0,351030	-0,965546	-0,117331
293	-0,351030	-0,965582	-0,107835
294	-0,351030	-0,965606	-0,145578
295	-0,351030	-0,965619	-0,218104
296	-0,351030	-0,965622	-0,202377
297	-0,351030	-0,965616	-0,183954
298	-0,351030	-0,965602	-0,230099
299	-0,351030	-0,965582	-0,276360
300	-0,351030	-0,965556	-0,121307
301	-0,351030	-0,965561	-0,131665
302	-0,351030	-0,965594	-0,224943
303	-0,351030	-0,965652	-0,216194
304	-0,351030	-0,965733	-0,216596
305	-0,351030	-0,965833	-0,138322
306	-0,351030	-0,965950	-0,162920
307	-0,351030	-0,966083	-0,226686
308	-0,351030	-0,966230	-0,124781
309	-0,351030	-0,966389	-0,234590
310	-0,351030	-0,966559	-0,122550
311	-0,351030	-0,966739	-0,119629
312	-0,351030	-0,966928	-0,280633
313	-0,351030	-0,967124	-0,215357
314	-0,351030	-0,967327	-0,218186
315	-0,351030	-0,967536	-0,183464
316	-0,351030	-0,967713	-0,137555
317	-0,351030	-0,967862	-0,124458
318	-0,351030	-0,967986	-0,134673
319	-0,351030	-0,968088	-0,203182
320	-0,351030	-0,968170	-0,113114
321	-0,351030	-0,968234	-0,221177
322	-0,351030	-0,968283	-0,159595
323	-0,351030	-0,968318	-0,209014
324	-0,351030	-0,968341	-0,178534
325	-0,351030	-0,968352	-0,260659
326	-0,351030	-0,968354	-0,195406
327	-0,351030	-0,968347	-0,210064
328	-0,351030	-0,968332	-0,226188
329	-0,351030	-0,968311	-0,163486
330	-0,351030	-0,968283	-0,138290
331	-0,351030	-0,968287	-0,171082
332	-0,351030	-0,968319	-0,164972
333	-0,351030	-0,968376	-0,205221
334	-0,351030	-0,968455	-0,228742
335	-0,351030	-0,968553	-0,105037
336	-0,351030	-0,968670	-0,233702
337	-0,351030	-0,968802	-0,093938
338	-0,351030	-0,968947	-0,249271
339	-0,351030	-0,969105	-0,205571
340	-0,351030	-0,969274	-0,210565
341	-0,351030	-0,969453	-0,172886
342	-0,351030	-0,969640	-0,189753
343	-0,351030	-0,969835	-0,147049
344	-0,351030	-0,970036	-0,190021
345	-0,351030	-0,970244	-0,108251
346	-0,351030	-0,970420	-0,203788
347	-0,351030	-0,970568	-0,198047
348	-0,351030	-0,970691	-0,219492
349	-0,351030	-0,970791	-0,169065
350	-0,351030	-0,970872	-0,111207
351	-0,351030	-0,970935	-0,114470
352	-0,351030	-0,970983	-0,198237
353	-0,351030	-0,971017	-0,095191
354	-0,351030	-0,971038	-0,244738
355	-0,351030	-0,971048	-0,136731
356	-0,351030	-0,971049	-0,097373
357	-0,351030	-0,971040	-0,104182
358	-0,351030	-0,971025	-0,130953
359	-0,351030	-0,971002	-0,240985
360	-0,351030	-0,970973	-0,144388
361	-0,351030	-0,970975	-0,160649
362	-0,351030	-0,971006	-0,124432
363	-0,351030	-0,971062	-0,229324
364	-0,351030	-0,971140	-0,137910
365	-0,351030	-0,971237	-0,173319
366	-0,351030	-0,971352	-0,185422
367	-0,351030	-0,971483	-0,190674
368	-0,351030	-0,971628	-0,270389
369	-0,351030	-0,971784	-0,150675
370	-0,351030	-0,971952	-0,208774
371	-0,351030	-0,972129	-0,134374
372	-0,351030	-0,972315	-0,152304
373	-0,351030	-0,972509	-0,106450
374	-0,351030	-0,972709	-0,185677
375	-0,351030	-0,972916	-0,178266
376	-0,351030	-0,973091	-0,127816
377	-0,351030	-0,973237	-0,167938
378	-0,351030	-0,973359	-0,193428
379	-0,351030	-0,973458	-0,149856
380	-0,351030	-0,973538	-0,133609
381	-0,351030	-0,973600	-0,191874
382	-0,351030	-0,973646	-0,118224
383	-0,351030	-0,973679	-0,126649
384	-0,351030	-0,973699	-0,177331
385	-0,351030	-0,973708	-0,192149
386	-0,351030	-0,973707	-0,108362
387	-0,351030	-0,973698	-0,119653
388	-0,351030	-0,973681	-0,201152
389	-0,351030	-0,973657	-0,173809
390	-0,351030	-0,973627	-0,174806
391	-0,351030	-0,973628	-0,262149
392	-0,351030	-0,973658	-0,097833
393	-0,351030	-0,973712	-0,225992
394	-0,351030	-0,973789	-0,156073
395	-0,351030	-0,973885	-0,110844
396	-0,351030	-0,973999	-0,234046
397	-0,351030	-0,974129	-0,106235
398	-0,351030	-0,974272	-0,170561
399	-0,351030	-0,974428	-0,252285
400	-0,351030	-0,974594	-0,175776
401	-0,351030	-0,974770	-0,116112
402	-0,351030	-0,974955	-0,181042
403	-0,351030	-0,975148	-0,127858
404	-0,351030	-0,975347	-0,104688
405	-0,351030	-0,975552	-0,139917
406	-0,351030	-0,975726	-0,160357
407	-0,351030	-0,975872	-0,178742
408	-0,351030	-0,975992	-0,187391
409	-0,351030	-0,976090	-0,198837
410	-0,351030	-0,976169	-0,168051
411	-0,351030	-0,976230	-0,168550
412	-0,351030	-0,976275	-0,221558
413	-0,351030	-0,976306	-0,206643
414	-0,351030	-0,976325	-0,222711
415	-0,351030	-0,976333	-0,201851
416	-0,351030	-0,976331	-0,261889
417	-0,351030	-0,976321	-0,143941
418	-0,351030	-0,976302	-0,251842
419	-0,351030	-0,976277	-0,114104
420	-0,351030	-0,976246	-0,187646
421	-0,351030	-0,976209	-0,149054
422	-0,351030	-0,976168	-0,113919
423	-0,351030	-0,976122	-0,144227
424	-0,351030	-0,976072	-0,096463
425	-0,351030	-0,976019	-0,163825
426	-0,351030	-0,975963	-0,096940
427	-0,351030	-0,975904	-0,089075
428	-0,351030	-0,975843	-0,121543
429	-0,351030	-0,975779	-0,196035
430	-0,351030	-0,975714	-0,157302
431	-0,351030	-0,975647	-0,171428
432	-0,351030	-0,975578	-0,154875
433	-0,351030	-0,975508	-0,104581
434	-0,351030	-0,975437	-0,141169
435	-0,351030	-0,975365	-0,244806
436	-0,351030	-0,975329	-0,274369
437	-0,351030	-0,975325	-0,185234
438	-0,351030	-0,975350	-0,240656
439	-0,351030	-0,975399	-0,111470
440	-0,351030	-0,975472	-0,120990
441	-0,351030	-0,975564	-0,172754
442	-0,351030	-0,975674	-0,096160
443	-0,351030	-0,975800	-0,172889
444	-0,351030	-0,975940	-0,221247
445	-0,351030	-0,976092	-0,119859
446	-0,351030	-0,976256	-0,174037
447	-0,351030	-0,976429	-0,155698
448	-0,351030	-0,976611	-0,138168
449	-0,351030	-0,976801	-0,176087
450	-0,351030	-0,976998	-0,232358
451	-0,351030	-0,977163	-0,230486
452	-0,351030	-0,977302	-0,151358
453	-0,351030	-0,977416	-0,193805
454	-0,351030	-0,977508	-0,168091
455	-0,351030	-0,977581	-0,264728
456	-0,351030	-0,977637	-0,200702
457	-0,351030	-0,977677	-0,154195
458	-0,351030	-0,977704	-0,217860
459	-0,351030	-0,977719	-0,191320
460	-0,351030	-0,977723	-0,201799
461	-0,351030	-0,977718	-0,272435
462	-0,351030	-0,977704	-0,147233
463	-0,351030	-0,977682	-0,093535
464	-0,351030	-0,977654	-0,278961
465	-0,351030	-0,977620	-0,159905
466	-0,351030	-0,977581	-0,240210
467	-0,351030	-0,977536	-0,157448
468	-0,351030	-0,977488	-0,168104
469	-0,351030	-0,977436	-0,226840
470	-0,351030	-0,977381	-0,163986
471	-0,351030	-0,977322	-0,184392
472	-0,351030	-0,977261	-0,171834
473	-0,351030	-0,977198	-0,171585
474	-0,351030	-0,977132	-0,204938
475	-0,351030	-0,977065	-0,254534
476	-0,351030	-0,976996	-0,102186
477	-0,351030	-0,976925	-0,157841
478	-0,351030	-0,976854	-0,204586
479	-0,351030	-0,976781	-0,178020
480	-0,351030	-0,976707	-0,149376
481	-0,351030	-0,976669	-0,118391
482	-0,351030	-0,976663	-0,233371
483	-0,351030	-0,976685	-0,153017
484	-0,351030	-0,976733	-0,333770
485	-0,351030	-0,976804	-0,256590
486	-0,351030	-0,976895	-0,144050
487	-0,351030	-0,977003	-0,134418
488	-0,351030	-0,977127	-0,213801
489	-0,351030	-0,977265	-0,132970
490	-0,351030	-0,977416	-0,099651
491	-0,351030	-0,977578	-0,140234
492	-0,351030	-0,977749	-0,148291
493	-0,351030	-0,977930	-0,194491
494	-0,351030	-0,978118	-0,178087
495	-0,351030	-0,978313	-0,109602
496	-0,351030	-0,978477	-0,129754
497	-0,351030	-0,978614	-0,199037
498	-0,351030	-0,978726	-0,233656
499	-0,351030	-0,978817	-0,146622
500	-0,351030	-0,978888	-0,140211
501	-0,351030	-0,978942	-0,148639
502	-0,351030	-0,978981	-0,279538
503	-0,351030	-0,979006	-0,182573
504	-0,351030	-0,979019	-0,116070
505	-0,351030	-0,979022	-0,252949
506	-0,351030	-0,979015	-0,166834
507	-0,351030	-0,978999	-0,123969
508	-0,351030	-0,978976	-0,174488
509	-0,351030	-0,978946	-0,190838
510	-0,351030	-0,978910	-0,194862
511	-0,351030	-0,978869	-0,195056
512	-0,351030	-0,978824	-0,188821
513	-0,351030	-0,978774	-0,299161
514	-0,351030	-0,978720	-0,202506
515	-0,351030	-0,978663	-0,173876
516	-0,351030	-0,978603	-0,136217
517	-0,351030	-0,978540	-0,256636
518	-0,351030	-0,978475	-0,108125
519	-0,351030	-0,978408	-0,114689
520	-0,351030	-0,978339	-0,236249
521	-0,351030	-0,978268	-0,099841
522	-0,351030	-0,978196	-0,150230
523	-0,351030	-0,978123	-0,115804
524	-0,351030	-0,978048	-0,107766
525	-0,351030	-0,977972	-0,123952
526	-0,351030	-0,977933	-0,110572
527	-0,351030	-0,977925	-0,099139
528	-0,351030	-0,977946	-0,242582
